comune_istat_val;comune_cat_val;comune_amm_val;comune_descrizione_val;fascia_val;zona_val;linkzona;cod_tip;descr_tipologia;stato;stato_prev_val;compr_min;compr_max;loc_min;loc_max;sup_nl_loc;semestre;comune_istat_zone;comune_cat_zone;comune_amm_zone;comune_descrizione_zone;fascia_zone;zona_descr;zona_zone;cod_tip_prev;descr_tip_prev;stato_prev_zone;microzona
5023091;D6AA;L781;VERONA;D;D3;VR00000478;1;Ville e Villini;NORMALE;P;1500;2250;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D3;VR00000478;5;Negozi;NORMALE;P;1400;2100;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D3;VR00000478;6;Uffici;NORMALE;P;1150;1550;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'CHIEVO. SAVAL. B.GO NUOVO. B.GO MILANO E S.MASSIMO';D3;20;Abitazioni civili;N;4.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;20;Abitazioni civili;NORMALE;P;1100;1350;5.5;7.5;L;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;21;Abitazioni di tipo economico;NORMALE;P;950;1150;4.5;6;L;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;13;Box;NORMALE;P;550;800;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;1;Ville e Villini;NORMALE;P;1500;2150;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;5;Negozi;NORMALE;P;1200;1850;9;12;L;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D4;VR00000480;6;Uffici;NORMALE;P;1150;1500;7;10;L;2023_2;5023091;D6AA;L781;VERONA;D;'GOLOSINE. S.LUCIA';D4;20;Abitazioni civili;N;5.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;20;Abitazioni civili;NORMALE;P;950;1350;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;5;Negozi;NORMALE;P;1500;2200;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;6;Uffici;NORMALE;P;1000;1500;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;8;Capannoni industriali;NORMALE;P;430;650;2.5;4.5;L;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;8;Capannoni industriali;OTTIMO; ;800;1000;3;5;L;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
5023091;D6AA;L781;VERONA;D;D5;VR00000483;7;Capannoni tipici;NORMALE;P;400;600;nan;nan;nan;2023_2;5023091;D6AA;L781;VERONA;D;'GALTAROSSA. BASSO ACQUAR. PARCO FERROVIARIO. FIERA. Z.A.I. E SUOI AMPLIAMENTI. QUADRANTE EUROPA';D5;8;Capannoni industriali;N;6.0
